ticker,posterior_mean,lower_bound,upper_bound,classification
MMM,0.013,0.003,0.024,Resilient
AOS,0.006,-0.005,0.017,Resilient
ABT,0.014,0.004,0.025,Resilient
ABBV,0.015,0.004,0.027,Resilient
ACN,0.005,-0.006,0.017,Unaffected
ADBE,-0.001,-0.012,0.01,Unaffected
AMD,-0.017,-0.028,-0.006,Sensitive
AES,-0.005,-0.016,0.006,Unaffected
AFL,0.007,-0.004,0.018,Resilient
A,-0.001,-0.013,0.01,Unaffected
APD,0.001,-0.01,0.012,Unaffected
ABNB,0.013,0.002,0.025,Resilient
AKAM,-0.003,-0.014,0.008,Unaffected
ALB,-0.015,-0.028,-0.005,Sensitive
ARE,0.001,-0.01,0.012,Unaffected
ALGN,-0.018,-0.029,-0.007,Sensitive
ALLE,0.001,-0.01,0.012,Unaffected
LNT,0.009,-0.002,0.021,Resilient
ALL,0.008,-0.003,0.019,Resilient
GOOGL,-0.006,-0.017,0.005,Sensitive
GOOG,-0.005,-0.016,0.006,Unaffected
MO,0.007,-0.003,0.019,Resilient
AMZN,-0.009,-0.02,0.002,Sensitive
AMCR,0.007,-0.004,0.017,Resilient
AEE,0.017,0.006,0.028,Resilient
AEP,0.019,0.008,0.03,Resilient
AXP,-0.001,-0.012,0.011,Unaffected
AIG,0.015,0.005,0.027,Resilient
AMT,0.007,-0.005,0.018,Resilient
AWK,0.013,0.003,0.024,Resilient
AMP,-0.001,-0.013,0.01,Unaffected
AME,-0.0,-0.01,0.012,Unaffected
AMGN,0.018,0.007,0.029,Resilient
APH,-0.008,-0.018,0.004,Sensitive
ADI,0.012,0.001,0.024,Resilient
ANSS,0.003,-0.008,0.014,Unaffected
AON,0.013,0.001,0.023,Resilient
APA,0.013,0.002,0.024,Resilient
APO,-0.02,-0.032,-0.009,Sensitive
AAPL,0.002,-0.009,0.013,Unaffected
AMAT,0.003,-0.007,0.014,Unaffected
APTV,0.016,0.005,0.027,Resilient
ACGL,0.007,-0.003,0.019,Resilient
ADM,0.006,-0.005,0.017,Resilient
ANET,-0.014,-0.024,-0.002,Sensitive
AJG,0.016,0.005,0.027,Resilient
AIZ,-0.001,-0.013,0.01,Unaffected
T,0.012,0.002,0.024,Resilient
ATO,0.014,0.003,0.026,Resilient
ADSK,-0.008,-0.019,0.003,Sensitive
ADP,0.009,-0.002,0.02,Resilient
AZO,0.006,-0.005,0.017,Resilient
AVB,0.0,-0.011,0.011,Unaffected
AVY,0.003,-0.008,0.014,Unaffected
AXON,-0.011,-0.023,-0.001,Sensitive
BKR,0.01,-0.001,0.02,Resilient
BALL,-0.006,-0.017,0.005,Sensitive
BAC,0.0,-0.011,0.011,Unaffected
BAX,0.015,0.004,0.026,Resilient
BDX,0.005,-0.006,0.016,Unaffected
BBY,-0.005,-0.017,0.005,Unaffected
TECH,-0.005,-0.017,0.006,Unaffected
BIIB,-0.002,-0.012,0.01,Unaffected
BLK,-0.008,-0.019,0.004,Sensitive
BX,-0.018,-0.029,-0.007,Sensitive
BK,0.011,0.0,0.023,Resilient
BA,-0.002,-0.012,0.01,Unaffected
BKNG,0.001,-0.01,0.012,Unaffected
BSX,0.015,0.004,0.026,Resilient
BMY,0.007,-0.004,0.018,Resilient
AVGO,-0.013,-0.024,-0.002,Sensitive
BR,0.006,-0.005,0.017,Resilient
BRO,0.015,0.004,0.026,Resilient
BLDR,-0.007,-0.018,0.004,Sensitive
BG,0.003,-0.008,0.014,Unaffected
BXP,-0.014,-0.025,-0.002,Sensitive
CHRW,-0.002,-0.014,0.009,Unaffected
CDNS,-0.011,-0.023,0.0,Sensitive
CZR,-0.017,-0.029,-0.006,Sensitive
CPT,0.002,-0.009,0.013,Unaffected
CPB,0.002,-0.009,0.014,Unaffected
COF,-0.002,-0.012,0.011,Unaffected
CAH,0.017,0.005,0.029,Resilient
KMX,0.0,-0.011,0.011,Unaffected
CCL,-0.008,-0.019,0.002,Sensitive
CARR,0.005,-0.007,0.016,Unaffected
CAT,-0.0,-0.011,0.011,Unaffected
CBOE,0.009,-0.002,0.02,Resilient
CBRE,-0.009,-0.02,0.003,Sensitive
CDW,0.006,-0.005,0.017,Resilient
COR,0.013,0.001,0.023,Resilient
CNC,0.01,-0.001,0.021,Resilient
CNP,0.016,0.005,0.027,Resilient
CF,0.002,-0.008,0.013,Unaffected
CRL,-0.004,-0.015,0.006,Unaffected
SCHW,-0.006,-0.018,0.005,Sensitive
CHTR,0.002,-0.009,0.013,Unaffected
CVX,0.014,0.003,0.024,Resilient
CMG,-0.016,-0.027,-0.005,Sensitive
CB,0.007,-0.005,0.018,Resilient
CHD,0.009,-0.002,0.02,Resilient
CI,0.019,0.008,0.03,Resilient
CINF,-0.003,-0.013,0.01,Unaffected
CTAS,-0.002,-0.013,0.009,Unaffected
CSCO,0.013,0.002,0.024,Resilient
C,0.004,-0.007,0.015,Unaffected
CFG,-0.003,-0.013,0.009,Unaffected
CLX,0.002,-0.008,0.013,Unaffected
CME,0.014,0.004,0.025,Resilient
CMS,0.015,0.003,0.026,Resilient
KO,0.018,0.007,0.03,Resilient
CTSH,0.008,-0.003,0.019,Resilient
CL,0.01,-0.001,0.021,Resilient
CMCSA,0.007,-0.004,0.018,Resilient
CAG,0.0,-0.011,0.011,Unaffected
COP,0.006,-0.006,0.017,Resilient
ED,0.015,0.004,0.026,Resilient
STZ,-0.016,-0.028,-0.005,Sensitive
CEG,0.013,0.002,0.025,Resilient
COO,-0.01,-0.02,0.002,Sensitive
CPRT,-0.003,-0.015,0.008,Unaffected
GLW,0.002,-0.009,0.013,Unaffected
CPAY,-0.0,-0.011,0.011,Unaffected
CTVA,0.006,-0.005,0.017,Resilient
CSGP,0.01,-0.001,0.02,Resilient
COST,0.0,-0.011,0.011,Unaffected
CTRA,0.023,0.012,0.034,Resilient
CRWD,-0.008,-0.02,0.003,Sensitive
CCI,0.002,-0.009,0.013,Unaffected
CSX,0.001,-0.01,0.012,Unaffected
CMI,0.001,-0.009,0.012,Unaffected
CVS,0.03,0.019,0.04,Resilient
DHR,-0.001,-0.012,0.01,Unaffected
DRI,0.024,0.013,0.036,Resilient
DVA,0.009,-0.002,0.02,Resilient
DAY,-0.02,-0.031,-0.009,Sensitive
DECK,-0.02,-0.031,-0.009,Sensitive
DE,0.011,-0.0,0.022,Resilient
DELL,-0.013,-0.024,-0.001,Sensitive
DAL,0.001,-0.01,0.012,Unaffected
DVN,0.023,0.012,0.035,Resilient
DXCM,0.008,-0.002,0.019,Resilient
FANG,0.004,-0.007,0.014,Unaffected
DLR,-0.004,-0.015,0.008,Unaffected
DFS,0.001,-0.01,0.012,Unaffected
DG,0.011,-0.001,0.022,Resilient
DLTR,0.002,-0.009,0.014,Unaffected
D,0.01,-0.002,0.021,Resilient
DPZ,-0.004,-0.014,0.007,Unaffected
DASH,0.0,-0.01,0.011,Unaffected
DOV,-0.005,-0.016,0.007,Unaffected
DOW,0.003,-0.008,0.014,Unaffected
DHI,-0.001,-0.012,0.009,Unaffected
DTE,0.014,0.002,0.024,Resilient
DUK,0.012,0.001,0.023,Resilient
DD,0.0,-0.01,0.011,Unaffected
EMN,0.002,-0.009,0.013,Unaffected
ETN,-0.007,-0.018,0.005,Sensitive
EBAY,0.024,0.013,0.035,Resilient
ECL,0.007,-0.003,0.019,Resilient
EIX,-0.028,-0.039,-0.017,Sensitive
EW,0.001,-0.011,0.011,Unaffected
EA,0.003,-0.008,0.014,Unaffected
ELV,0.012,0.001,0.024,Resilient
EMR,-0.008,-0.02,0.003,Sensitive
ENPH,-0.004,-0.016,0.007,Unaffected
ETR,0.014,0.003,0.026,Resilient
EOG,0.015,0.005,0.026,Resilient
EPAM,-0.008,-0.02,0.003,Sensitive
EQT,0.023,0.011,0.034,Resilient
EFX,-0.005,-0.017,0.005,Unaffected
EQIX,-0.004,-0.015,0.008,Unaffected
EQR,0.002,-0.01,0.012,Unaffected
ERIE,0.008,-0.003,0.02,Resilient
ESS,0.002,-0.009,0.013,Unaffected
EL,-0.008,-0.019,0.003,Sensitive
EG,0.007,-0.004,0.018,Resilient
EVRG,0.011,-0.0,0.022,Resilient
ES,0.011,0.0,0.022,Resilient
EXC,0.02,0.009,0.032,Resilient
EXE,0.015,0.005,0.027,Resilient
EXPE,0.019,0.008,0.03,Resilient
EXPD,0.005,-0.006,0.016,Unaffected
EXR,0.004,-0.007,0.015,Unaffected
XOM,0.01,-0.001,0.021,Resilient
FFIV,0.003,-0.008,0.014,Unaffected
FDS,-0.004,-0.015,0.007,Unaffected
FICO,-0.009,-0.019,0.003,Sensitive
FAST,0.009,-0.002,0.021,Resilient
FRT,-0.006,-0.017,0.005,Sensitive
FDX,0.0,-0.011,0.011,Unaffected
FIS,-0.008,-0.019,0.003,Sensitive
FITB,-0.008,-0.019,0.003,Sensitive
FSLR,-0.01,-0.021,0.001,Sensitive
FE,0.01,-0.001,0.022,Resilient
FI,0.012,0.001,0.024,Resilient
F,0.002,-0.009,0.013,Unaffected
FTNT,0.005,-0.006,0.016,Unaffected
FTV,0.003,-0.009,0.013,Unaffected
FOXA,0.016,0.005,0.027,Resilient
FOX,0.014,0.002,0.025,Resilient
BEN,-0.008,-0.02,0.003,Sensitive
FCX,0.0,-0.01,0.012,Unaffected
GRMN,0.007,-0.005,0.018,Resilient
IT,0.001,-0.01,0.011,Unaffected
GE,0.016,0.004,0.026,Resilient
GEHC,0.009,-0.003,0.02,Resilient
GEV,0.005,-0.006,0.016,Unaffected
GEN,-0.001,-0.012,0.01,Unaffected
GNRC,-0.013,-0.024,-0.001,Sensitive
GD,0.01,-0.001,0.021,Resilient
GIS,0.001,-0.011,0.013,Unaffected
GM,-0.003,-0.013,0.008,Unaffected
GPC,0.012,0.001,0.022,Resilient
GILD,0.017,0.006,0.028,Resilient
GPN,-0.008,-0.019,0.003,Sensitive
GL,0.02,0.009,0.032,Resilient
GDDY,-0.011,-0.022,0.0,Sensitive
GS,0.002,-0.009,0.013,Unaffected
HAL,0.001,-0.009,0.012,Unaffected
HIG,0.009,-0.002,0.021,Resilient
HAS,0.004,-0.007,0.015,Unaffected
HCA,0.01,-0.001,0.021,Resilient
DOC,0.003,-0.008,0.014,Unaffected
HSIC,-0.001,-0.012,0.01,Unaffected
HSY,0.004,-0.007,0.015,Unaffected
HES,0.017,0.005,0.028,Resilient
HPE,-0.008,-0.02,0.002,Sensitive
HLT,0.002,-0.009,0.013,Unaffected
HOLX,-0.007,-0.018,0.004,Sensitive
HD,-0.001,-0.012,0.01,Unaffected
HON,-0.006,-0.016,0.005,Sensitive
HRL,-0.0,-0.011,0.01,Unaffected
HST,-0.001,-0.011,0.011,Unaffected
HWM,0.016,0.006,0.028,Resilient
HPQ,-0.005,-0.016,0.006,Unaffected
HUBB,-0.014,-0.025,-0.003,Sensitive
HUM,0.003,-0.008,0.014,Unaffected
HBAN,-0.007,-0.018,0.004,Sensitive
HII,0.006,-0.005,0.017,Resilient
IBM,0.007,-0.003,0.019,Resilient
IEX,-0.012,-0.022,-0.0,Sensitive
IDXX,0.006,-0.005,0.017,Resilient
ITW,0.004,-0.008,0.014,Unaffected
INCY,0.002,-0.008,0.013,Unaffected
IR,-0.014,-0.024,-0.003,Sensitive
PODD,0.005,-0.007,0.016,Unaffected
INTC,0.004,-0.007,0.016,Unaffected
ICE,0.007,-0.004,0.018,Resilient
IFF,-0.0,-0.011,0.011,Unaffected
IP,0.002,-0.01,0.013,Unaffected
IPG,-0.002,-0.014,0.009,Unaffected
INTU,-0.008,-0.02,0.002,Sensitive
ISRG,0.008,-0.003,0.019,Resilient
IVZ,-0.013,-0.024,-0.002,Sensitive
INVH,0.003,-0.009,0.013,Unaffected
IQV,0.004,-0.008,0.014,Unaffected
IRM,-0.009,-0.02,0.002,Sensitive
JBHT,0.008,-0.002,0.02,Resilient
JBL,0.021,0.01,0.032,Resilient
JKHY,0.011,-0.0,0.022,Resilient
J,0.002,-0.01,0.012,Unaffected
JNJ,0.014,0.003,0.025,Resilient
JCI,0.007,-0.005,0.018,Resilient
JPM,0.008,-0.002,0.02,Resilient
JNPR,0.009,-0.002,0.021,Resilient
K,0.009,-0.002,0.02,Resilient
KVUE,0.009,-0.002,0.02,Resilient
KDP,0.004,-0.007,0.016,Unaffected
KEY,-0.008,-0.018,0.004,Sensitive
KEYS,-0.0,-0.011,0.011,Unaffected
KMB,0.013,0.003,0.026,Resilient
KIM,-0.007,-0.018,0.004,Sensitive
KMI,0.013,0.003,0.024,Resilient
KKR,-0.024,-0.034,-0.012,Sensitive
KLAC,0.013,0.001,0.024,Resilient
KHC,0.006,-0.005,0.017,Resilient
KR,0.011,-0.0,0.022,Resilient
LHX,0.006,-0.005,0.017,Resilient
LH,0.012,0.001,0.023,Resilient
LRCX,0.003,-0.008,0.014,Unaffected
LW,-0.043,-0.054,-0.032,Sensitive
LVS,-0.015,-0.027,-0.004,Sensitive
LDOS,0.002,-0.009,0.013,Unaffected
LEN,-0.01,-0.02,0.002,Sensitive
LII,0.004,-0.006,0.015,Unaffected
LLY,0.004,-0.007,0.016,Unaffected
LIN,0.012,0.001,0.023,Resilient
LYV,-0.0,-0.012,0.011,Unaffected
LKQ,0.018,0.007,0.029,Resilient
LMT,0.009,-0.002,0.021,Resilient
L,0.008,-0.003,0.019,Resilient
LOW,-0.002,-0.013,0.01,Unaffected
LULU,-0.012,-0.024,-0.001,Sensitive
LYB,0.007,-0.003,0.019,Resilient
MTB,-0.003,-0.014,0.008,Unaffected
MPC,0.014,0.003,0.025,Resilient
MKTX,-0.004,-0.015,0.007,Unaffected
MAR,-0.003,-0.014,0.008,Unaffected
MMC,0.013,0.002,0.024,Resilient
MLM,-0.003,-0.014,0.008,Unaffected
MAS,0.002,-0.009,0.013,Unaffected
MA,0.006,-0.006,0.016,Resilient
MTCH,0.006,-0.005,0.017,Resilient
MKC,0.003,-0.008,0.014,Unaffected
MCD,0.008,-0.003,0.019,Resilient
MCK,0.018,0.007,0.029,Resilient
MDT,0.017,0.006,0.029,Resilient
MRK,0.001,-0.01,0.012,Unaffected
META,-0.004,-0.015,0.006,Unaffected
MET,0.003,-0.008,0.014,Unaffected
MTD,0.006,-0.005,0.017,Resilient
MGM,-0.0,-0.011,0.011,Unaffected
MCHP,0.001,-0.01,0.012,Unaffected
MU,-0.01,-0.021,0.001,Sensitive
MSFT,-0.002,-0.012,0.01,Unaffected
MAA,0.006,-0.005,0.017,Resilient
MRNA,-0.014,-0.025,-0.003,Sensitive
MHK,0.004,-0.008,0.014,Unaffected
MOH,0.008,-0.003,0.02,Resilient
TAP,0.009,-0.002,0.02,Resilient
MDLZ,0.012,0.001,0.022,Resilient
MPWR,-0.003,-0.015,0.008,Unaffected
MNST,0.012,0.001,0.023,Resilient
MCO,-0.002,-0.013,0.009,Unaffected
MS,-0.002,-0.013,0.009,Unaffected
MOS,0.001,-0.01,0.012,Unaffected
MSI,0.001,-0.011,0.012,Unaffected
MSCI,-0.001,-0.012,0.01,Unaffected
NDAQ,-0.004,-0.015,0.007,Unaffected
NTAP,-0.016,-0.027,-0.004,Sensitive
NFLX,-0.002,-0.013,0.008,Unaffected
NEM,0.018,0.008,0.03,Resilient
NWSA,0.004,-0.007,0.015,Unaffected
NWS,0.008,-0.003,0.018,Resilient
NEE,0.007,-0.004,0.018,Resilient
NKE,-0.003,-0.014,0.008,Unaffected
NI,0.014,0.002,0.026,Resilient
NDSN,-0.002,-0.013,0.009,Unaffected
NSC,0.003,-0.008,0.014,Unaffected
NTRS,0.003,-0.008,0.015,Unaffected
NOC,0.006,-0.005,0.016,Resilient
NCLH,-0.012,-0.024,-0.001,Sensitive
NRG,0.003,-0.008,0.014,Unaffected
NUE,0.007,-0.005,0.018,Resilient
NVDA,0.006,-0.006,0.017,Resilient
NVR,-0.001,-0.012,0.01,Unaffected
NXPI,0.008,-0.003,0.019,Resilient
ORLY,0.001,-0.01,0.012,Unaffected
OXY,0.018,0.007,0.03,Resilient
ODFL,0.002,-0.009,0.013,Unaffected
OMC,-0.0,-0.012,0.01,Unaffected
ON,-0.024,-0.036,-0.013,Sensitive
OKE,0.004,-0.007,0.014,Unaffected
ORCL,-0.003,-0.015,0.008,Unaffected
OTIS,0.007,-0.005,0.018,Resilient
PCAR,0.002,-0.01,0.013,Unaffected
PKG,-0.001,-0.012,0.01,Unaffected
PLTR,0.019,0.007,0.03,Resilient
PANW,-0.01,-0.021,0.001,Sensitive
PARA,0.006,-0.006,0.017,Resilient
PH,-0.002,-0.013,0.009,Unaffected
PAYX,0.015,0.004,0.026,Resilient
PAYC,-0.008,-0.019,0.003,Sensitive
PYPL,-0.01,-0.021,0.001,Sensitive
PNR,-0.011,-0.021,0.0,Sensitive
PEP,0.004,-0.007,0.015,Unaffected
PFE,0.01,-0.002,0.021,Resilient
PCG,-0.01,-0.022,0.002,Sensitive
PM,0.015,0.004,0.026,Resilient
PSX,0.012,0.0,0.023,Resilient
PNW,0.011,-0.0,0.022,Resilient
PNC,-0.004,-0.016,0.006,Unaffected
POOL,0.006,-0.005,0.017,Resilient
PPG,0.004,-0.007,0.016,Unaffected
PPL,0.011,0.0,0.022,Resilient
PFG,0.01,-0.002,0.021,Resilient
PG,0.005,-0.006,0.015,Unaffected
PGR,0.011,0.0,0.022,Resilient
